,armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,t_team_clan_name,t_side,tick,total_rounds_played,user_X,user_Y,user_Z,user_health,user_place,user_name,user_steamid,user_team_clan_name,user_side,user_total_rounds_played,weapon
151,0,485.9476,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,37,generic,FaZe Clan,t,47119,4,858.06415,2663.87,140.0843,45,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
153,0,493.34018,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,31,generic,FaZe Clan,t,47132,4,630.5149,2551.9243,202.68596,39,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
154,0,493.34018,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,29,generic,FaZe Clan,t,47132,4,861.82104,2638.676,140.0843,37,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
157,0,477.5146,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,21,generic,FaZe Clan,t,47145,4,865.88574,2604.536,140.0843,29,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
158,0,480.71982,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,13,generic,FaZe Clan,t,47157,4,858.0577,2612.1167,140.0843,21,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
167,100,297.64166,-250.37695,99.03126,100.0,SecondMid,ropz,7.656119799127232e+16,FaZe Clan,t,5.0,Natus Vincere,ct,0,4,96,generic,FaZe Clan,t,49750,5,1235.961,28.06983,266.36847,100,Apartments,b1t,76561198246607476,Natus Vincere,ct,5,inferno
168,100,317.53894,-280.42963,97.03124,100.0,SecondMid,ropz,7.656119799127232e+16,FaZe Clan,t,5.0,Natus Vincere,ct,0,4,92,generic,FaZe Clan,t,49763,5,1209.7538,21.958176,303.94693,96,Apartments,b1t,76561198246607476,Natus Vincere,ct,5,inferno
169,100,293.5993,-275.3985,99.03125,100.0,SecondMid,ropz,7.656119799127232e+16,FaZe Clan,t,5.0,Natus Vincere,ct,0,5,87,generic,FaZe Clan,t,49776,5,1191.0771,39.260082,308.5176,92,Apartments,b1t,76561198246607476,Natus Vincere,ct,5,inferno
170,98,1209.2863,303.93613,128.03125,87.0,Apartments,b1t,7.656119824660747e+16,Natus Vincere,ct,5.0,Natus Vincere,ct,2,4,96,generic,FaZe Clan,t,50076,5,953.9683,156.51904,162.03125,100,SecondMid,rain,76561197997351207,FaZe Clan,t,5,hegrenade
176,100,2289.1543,-69.46326,111.57024,100.0,BombsiteA,w0nderful,7.656119906306883e+16,Natus Vincere,ct,5.0,Natus Vincere,ct,0,7,93,generic,FaZe Clan,t,55598,5,1466.514,179.1354,177.41623,100,TopofMid,karrigan,76561197989430253,FaZe Clan,t,5,inferno
177,100,2291.343,-60.6109,112.575775,100.0,BombsiteA,w0nderful,7.656119906306883e+16,Natus Vincere,ct,5.0,Natus Vincere,ct,0,8,85,generic,FaZe Clan,t,55610,5,1474.8134,131.89384,180.60977,93,TopofMid,karrigan,76561197989430253,FaZe Clan,t,5,inferno
189,77,925.17535,1986.402,136.03128,100.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,20,30,70,generic,FaZe Clan,t,64136,6,199.24419,1298.8086,102.42842,100,Banana,karrigan,76561197989430253,FaZe Clan,t,6,hegrenade
190,92,925.17535,1986.402,136.03128,100.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,8,13,87,generic,FaZe Clan,t,64136,6,134.561,1227.3693,93.325424,100,Banana,frozen,76561198068422762,FaZe Clan,t,6,hegrenade
191,100,925.17535,1986.402,136.03128,100.0,Banana,jL,7.65611981768783e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,0,0,100,generic,FaZe Clan,t,64136,6,155.5997,1081.418,88.29608,100,Banana,broky,76561198201620490,FaZe Clan,t,6,hegrenade
193,100,785.7946,2303.6868,136.03146,100.0,Banana,w0nderful,7.656119906306883e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,0,0,100,generic,FaZe Clan,t,64279,6,81.802895,1312.7743,98.10714,100,Banana,broky,76561198201620490,FaZe Clan,t,6,molotov
194,100,785.7946,2303.6868,136.03146,100.0,Banana,w0nderful,7.656119906306883e+16,Natus Vincere,ct,6.0,Natus Vincere,ct,0,1,99,generic,FaZe Clan,t,64279,6,81.802895,1312.7743,98.10714,100,Banana,broky,76561198201620490,FaZe Clan,t,6,molotov
195,96,274.3817,1311.7816,111.30887,87.0,Banana,frozen,7.656119806842277e+16,FaZe Clan,t,6.0,Natus Vincere,ct,4,7,93,generic,FaZe Clan,t,64295,6,1038.8082,1852.2466,144.03125,100,Banana,jL,76561198176878303,Natus Vincere,ct,6,hegrenade
196,85,322.63458,1695.7921,127.05868,70.0,Banana,karrigan,7.656119798943026e+16,FaZe Clan,t,6.0,Natus Vincere,ct,11,16,77,generic,FaZe Clan,t,64405,6,1037.0273,1885.8402,144.03125,93,Banana,jL,76561198176878303,Natus Vincere,ct,6,hegrenade
