,armor,attacker_4k_rounds_total,attacker_X,attacker_Y,attacker_Z,attacker_ct_losing_streak,attacker_current_equip_value,attacker_health,attacker_is_ct_timeout,attacker_is_terrorist_timeout,attacker_place,attacker_name,attacker_steamid,attacker_t_losing_streak,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_losing_streak,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,is_ct_timeout,is_terrorist_timeout,t_losing_streak,t_team_clan_name,t_side,tick,total_rounds_played,user_4k_rounds_total,user_X,user_Y,user_Z,user_ct_losing_streak,user_current_equip_value,user_health,user_is_ct_timeout,user_is_terrorist_timeout,user_place,user_name,user_steamid,user_t_losing_streak,user_team_clan_name,user_side,user_total_rounds_played,weapon,total_dmg
126,0,0.0,2.9037652,2508.1465,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,92,generic,False,False,2.0,FaZe Clan,t,46933,4,0.0,662.54126,2463.8381,187.1344,0.0,400.0,100,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,8
127,0,0.0,2.2642245,2511.9546,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,84,generic,False,False,2.0,FaZe Clan,t,46958,4,0.0,640.03064,2444.1199,189.03125,0.0,400.0,92,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,8
128,0,0.0,2.017143,2514.4136,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,8,76,generic,False,False,2.0,FaZe Clan,t,46971,4,0.0,640.031,2439.0312,189.03125,0.0,400.0,84,False,False,BombsiteB,karrigan,76561197989430253,2.0,FaZe Clan,t,4,inferno,8
129,87,0.0,446.48395,2448.5244,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,2,98,generic,False,False,2.0,FaZe Clan,t,47004,4,0.0,862.99023,2599.8047,140.0843,0.0,4100.0,100,False,False,BombsiteB,ropz,76561197991272318,2.0,FaZe Clan,t,4,inferno,2
130,87,0.0,430.69528,2447.8057,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,3,95,generic,False,False,2.0,FaZe Clan,t,47017,4,0.0,862.915,2605.7083,140.0843,0.0,4100.0,98,False,False,BombsiteB,ropz,76561197991272318,2.0,FaZe Clan,t,4,inferno,3
131,0,0.0,430.69528,2447.8057,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,3,76,generic,False,False,2.0,FaZe Clan,t,47017,4,0.0,830.11615,2536.206,140.0843,0.0,200.0,79,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,3
132,87,0.0,447.06598,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,4,91,generic,False,False,2.0,FaZe Clan,t,47029,4,0.0,863.51294,2600.6729,140.0843,0.0,4100.0,95,False,False,BombsiteB,ropz,76561197991272318,2.0,FaZe Clan,t,4,inferno,4
133,0,0.0,447.06598,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,4,72,generic,False,False,2.0,FaZe Clan,t,47029,4,0.0,834.32776,2568.6416,140.0843,0.0,200.0,76,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,4
134,87,0.0,479.7967,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,4,87,generic,False,False,2.0,FaZe Clan,t,47042,4,0.0,862.4584,2617.111,140.0843,0.0,4100.0,91,False,False,BombsiteB,ropz,76561197991272318,2.0,FaZe Clan,t,4,inferno,4
135,0,0.0,479.7967,2439.0312,167.03125,0.0,5600.0,85.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,4,68,generic,False,False,2.0,FaZe Clan,t,47042,4,0.0,837.3999,2552.0234,140.0843,0.0,200.0,72,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,4
