,round_num,clutcher_steamid,clutcher_team_side,opponents_at_start,clutch_kills,clutch_outcome,round_won,clutcher_survived_round,match_name,file_id,event_id
209,24,76561198080114546,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
210,26,76561198080114546,t,3,1,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
211,27,76561198044118796,ct,4,1,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
212,28,76561197967432889,t,5,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
213,29,76561198014259134,ct,2,2,won,True,True,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
214,1,76561198083485506,t,2,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
215,2,76561198041683378,ct,4,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
216,4,76561197983956651,ct,5,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
217,5,76561198083485506,t,4,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
218,6,76561198410750263,t,2,1,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
219,7,76561197967432889,t,4,1,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
220,8,76561198041683378,ct,2,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
221,9,76561198041683378,ct,2,1,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
222,11,76561198057282432,ct,3,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
223,12,76561197983956651,ct,2,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
224,13,76561198410750263,ct,2,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
225,14,76561198041683378,t,3,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
226,15,76561197967432889,ct,2,2,won,True,True,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
227,16,76561197996678278,t,4,0,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
228,17,76561198041683378,t,3,1,lost,False,False,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
229,20,76561197983956651,t,4,0,save,False,True,falcons-vs-eternal-fire-m1-inferno.dem,4417,1
230,1,76561198057282432,t,2,1,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
231,3,76561198057282432,t,3,2,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
232,4,76561198799340122,t,5,0,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
233,5,76561197983956651,t,4,0,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
234,6,76561198799340122,t,3,0,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
235,7,76561198041683378,t,5,1,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
236,8,76561197967432889,ct,5,1,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
237,9,76561198799340122,t,3,0,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
238,10,76561197996678278,t,2,1,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
239,11,76561198799340122,t,4,1,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
240,12,76561197996678278,t,2,2,won,True,True,falcons-vs-eternal-fire-m2-train.dem,4418,1
241,13,76561197983956651,ct,2,0,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
242,14,76561198041683378,ct,4,0,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
243,15,76561197983956651,ct,3,0,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
244,16,76561197967432889,t,3,0,lost,False,False,falcons-vs-eternal-fire-m2-train.dem,4418,1
245,18,76561198041683378,ct,4,0,save,False,True,falcons-vs-eternal-fire-m2-train.dem,4418,1
246,1,76561198012872053,ct,3,0,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
247,2,76561198074762801,ct,2,0,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
248,3,76561198012872053,ct,3,0,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
249,4,76561197983956651,t,3,0,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
250,5,76561198799340122,t,4,1,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
251,6,76561198057282432,t,5,0,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
252,7,76561197982141573,ct,3,1,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
253,8,76561198057282432,t,4,0,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
254,9,76561198012872053,ct,3,0,lost,False,False,falcons-vs-g2-m1-ancient.dem,4419,1
255,10,76561197982141573,ct,3,0,save,False,True,falcons-vs-g2-m1-ancient.dem,4419,1
